N	english	spelling	script	IPA
121	to walk	ambulare	ambvlare	am.bʊ.ˈɫaː.rɛ
122	to come	venire	venire	wɛ.ˈniː.rɛ
123	to lie (as in a bed)	cubare, iacere	cvbare, iacere	kʊ.ˈbaː.rɛ, ja.ˈkeː.rɛ
124	to sit	sedere	sedere	sɛ.ˈd̪eː.rɛ
125	to stand	stare	stare	ˈs̪t̪aː.rɛ
126	to turn (intransitive)	vertere	vertere	ˈwɛ̞r.t̪ɛ.rɛ
127	to fall	cadere	cadere	ˈka.dɛ.rɛ
128	to give	dare	dare	ˈda.rɛ
129	to hold	tenere	tenere	t̪ɛ.ˈneː.rɛ
130	to squeeze	exprimere	exprimere	ɛks.ˈprɪ.mɛ.rɛ
131	to rub	fricare, terere	fricare, terere	frɪ.ˈkaː.rɛ, ˈt̪ɛ.rɛ.rɛ
132	to wash	lavare	lavare	ɫa.ˈwaː.rɛ
133	to wipe	tergere	tergere	t̪ɛ̞r.ˈɡeː.rɛ
134	to pull	trahere	trahere	ˈt̪ra.hɛ.rɛ
135	to push	pellere	pellere	ˈpɛl.lʲɛ.rɛ
136	to throw	iacere	iacere	ˈja.kɛ.rɛ
137	to tie	ligare	ligare	lʲɪ.ˈɡaː.rɛ
138	to sew	(con)suere	consvere	ˈsʊ.ɛ.rɛ
139	to count	computare, numerare	compvtare, nvmerare	kɔm.pʊ.ˈt̪aː.rɛ, nʊ.mɛ.ˈraː.rɛ
140	to say	dicere	dicere	ˈd̪ɪ.kɛ.rɛ
141	to sing	canere	canere	ˈka.nɛ.rɛ
142	to play	ludere	lvdere	ˈɫuː.dɛ.rɛ
143	to float	fluctuare, fluitare	flvctvare, flvitare	fɫuːk.t̪ʊ.ˈaː.rɛ, fɫʊ.ɪ.ˈt̪aː.rɛ
144	to flow	fluere	flvere	ˈfɫʊ.ɛ.rɛ
145	to freeze	gelare	gelare	ɡɛ.ˈɫaː.rɛ
146	to swell	augere, tumere	avgere, tvmere	aʊ̯.ˈɡeː.rɛ, t̪ʊ.ˈmeː.rɛ
147	sun	sol	sol	ˈsoːɫ
148	moon	luna	lvna	ˈɫuː.na
149	star	stella	stella	ˈs̪t̪eːl.lʲa
150	water	aqua	aqva	ˈa.kʷa
151	rain	pluvia	plvvia	ˈpɫʊ.wi.a
152	river	flumen, fluvius, amnis	flvmen, flvvivs, amnis	ˈfɫuː.mɛn, ˈfɫʊ.wi.ʊs, ˈam.nɪs
153	lake	lacus	lacvs	ˈɫa.kʊs
154	sea	mare	mare	ˈma.rɛ
155	salt	sal	sal	ˈsaːɫ
156	stone	saxum, lapis, petra	saxvm, lapis, petra	ˈsak.sʊ̃ˑ, ˈɫa.pɪs, ˈpɛ.tra
157	sand	harena	harena	ha.ˈreː.nɑ
158	dust	pulvis	pvlvis	ˈpʊɫ.wɪs
159	earth	humus, terra, ager	hvmvs, terra, ager	ˈhʊ.mʊs, ˈt̪ɛ̞r.ra, ˈa.ɡɛ̞r
160	cloud	nubes, nebula	nvbes, nebvla	ˈnuː.beːs, ˈnɛ.bʊ.ɫa
161	fog	caligo, nebula, tenebrae	caligo, nebvla, tenebrae	kaː.ˈlʲiː.ɡoː, ˈnɛ.bʊ.ɫa, t̪ɛ.ˈnɛb.rae̯
162	sky	caelum	caelvm	ˈkae̯.ɫʊ̃ˑ
163	wind	ventus	ventvs	ˈwɛn̪.t̪ʊs
164	snow	nix	nix	ˈnɪks
165	ice	gelu	gelv	ˈɡɛ.ɫuː
166	smoke	fumus	fvmvs	ˈfuː.mʊs
167	fire	ignis	ignis	ˈiːŋ.nɪs
168	ash	cinis	cinis	ˈkɪ.nɪs
169	to burn	urere, flammare	vrere, flammare	ˈuː.rɛ.rɛ, fɫam.ˈmaː.rɛ
170	road	via	via	ˈwi.a
171	mountain	mons	mons	ˈmõːs
172	red	ruber, rufus	rvber, rvfvs	ˈrʊ.bɛr, ˈruː.fʊs
173	green	viridis	viridis	ˈwɪ.rɪ.d̪ɪs
174	yellow	croceus, flavus	crocevs, flavvs	ˈkrɔ.ke.ʊs, ˈfɫaː.wʊs
175	white	albus, candidus	albvs, candidvs	ˈaɫ.bʊs, ˈkan.d̪ɪ.d̪ʊs
176	black	ater, niger	ater, niger	ˈaː.t̪ɛ̞r, ˈnɪ.ɡɛ̞r
177	night	nox	nox	nɔks
178	day	dies	dies	ˈd̪i.eːs
179	year	annus	annvs	ˈan.nʊs
180	warm	calidus	calidvs	ˈka.lʲɪ.dʊs
181	cold	frigidus	frigidvs	ˈfriː.ɡɪ.d̪ʊs
182	full	plenus	plenvs	ˈplʲeː.nʊs
183	new	novus	novvs	ˈnɔ.wʊs
