N	English	Spelling	IPA
151	rain	lluvia	/ˈʎuβja/
152	river	río	/ˈrio/
153	lake	lago	/ˈlaɣo/
154	sea	mar	/maɾ/
155	salt	sal	/sal/
156	stone	piedra	/ˈpjeðɾa/
157	sand	arena	/aˈɾena/
158	dust	polvo	/ˈpolβo/
159	earth	tierra	/ˈtjera/
160	cloud	nube	/ˈnuβe/
161	fog	niebla	/ˈnjeβla/
162	sky	cielo	/ˈθjelo/
163	wind	viento	/ˈbjento/
164	snow	nieve	/ˈnjeβe/
165	ice	hielo	/ˈjelo/
166	smoke	humo	/ˈumo/
167	fire	fuego	/ˈfweɣo/
168	ash	cenizas	/θeˈniθas/
169	to burn	quemar	/keˈmaɾ/
170	road	camino	/kaˈmino/
171	mountain	montaña	/monˈtaɲa/
172	red	rojo	/ˈroxo/
173	green	verde	/ˈbeɾðe/
174	yellow	amarillo	/amaˈɾiʎo/
175	white	blanco	/ˈblaŋko/
176	black	negro	/ˈneɣɾo/
177	night	noche	/ˈnot͡ʃe/
178	day	día	/ˈdia/
179	year	año	/ˈaɲo/
180	warm	cálido	/ˈkaliðo/
181	cold	frío	/ˈfɾio/
182	full	lleno	/ˈʎeno/
183	new	nuevo	/ˈnweβo/
184	old	viejo	/ˈbjexo/
185	good	bueno	/ˈbweno/
186	bad	malo	/ˈmalo/
187	rotten	podrido	/poðˈɾiðo/
188	dirty	sucio	/ˈsuθjo/
189	straight	recto	/ˈrekto/
190	round	redondo	/reˈðondo/
191	sharp (as a knife)	agudo, afilado	/aˈɣuðo/, /afiˈlaðo/
192	dull (as a knife)	sin filo, embotado, romo	/sinˈfilo/, /emboˈtaðo/, /ˈromo/
193	smooth	liso	/ˈliso/
194	wet	mojado	/moˈxaðo/
195	dry	seco	/ˈseko/
196	correct	correcto	/koˈrekto/
197	near	cerca	/ˈθeɾka/
198	far	lejos	/ˈlexos/
199	right	derecha	/deˈɾet͡ʃa/
200	left	izquierda	/iθˈkjeɾða/
201	at	a, en	/a/, /en/
202	in	en	/en/
203	with	con	/kon/
204	and	y, e	/i/, /e/
205	if	si	/si/
206	because	porque	/ˈpoɾke/
207	name	nombre	/ˈnombɾe/
