N	English	Spelling	IPA
173	green	vert	/vɛʁ/
174	yellow	jaune	/ʒon/
175	white	blanc	/blɑ̃/
176	black	noir	/nwaʁ/
177	night	nuit	/nɥi/
178	day	jour	/ʒuʁ/
179	year	an, année	/ɑ̃/, /ane/
180	warm	chaud	/ʃo/
181	cold	froid	/fʁwa/
182	full	plein	/plɛ̃/
183	new	nouveau, neuf	/nuvo/, /nœf/
184	old	vieux	/vjø/
185	good	bon	/bɔ̃/
186	bad	mauvais	/movɛ/
187	rotten	pourri	/puri/
188	dirty	sale	/sal/
189	straight	droit	/dʁwa/
190	round	rond	/ʁɔ̃/
191	sharp (as a knife)	tranchant	/tʁɑ̃ʃɑ̃/
192	dull (as a knife)	émoussé	/emuse/
193	smooth	lisse	/lis/
194	wet	mouillé	/muje/
195	dry	sec	/sɛk/
196	correct	juste	/ʒyst/
197	near	près	/pʁɛ/
198	far	loin	/lwɛ̃/
199	right	droite	/dʁwat/
200	left	gauche	/ɡoʃ/
201	at	à	/a/
202	in	dans	/dɑ̃/
203	with	avec	/avɛk/
204	and	et	/e/
205	if	si	/si/
206	because	parce que	/paʁsəkə/
207	name	nom	/nɔ̃/
