N	English	Spelling	IPA
151	rain	chuva	ˈʃuvɐ
152	river	rio	ˈʁiu
153	lake	lago	ˈlaɡu
154	sea	mar	maɾ
155	salt	sal	sal
156	stone	pedra	ˈpɛdɾɐ
157	sand	areia	ɐˈɾɐjɐ
158	dust	"poeira, pó"	"puˈɐjɾɐ, puˈejɾɐ, pɔ"
159	earth	"terra, solo"	"ˈtɛʁɐ, ˈsɔlu"
160	cloud	nuvem	ˈnuvɐ̃j
161	fog	"nevoeiro, névoa, neblina"	"nɨvuˈɐjɾu, nɨvuˈɐjɾu, ˈnɛvwɐ, nɨˈβlinɐ"
162	sky	céu	sɛw
163	wind	vento	ˈvẽtu
164	snow	neve	ˈnɛvɨ
165	ice	gelo	ˈʒelu
166	smoke	"fumo, fumaça"	"ˈfumu, fuˈmasa"
167	fire	fogo	ˈfoɡu
168	ash	cinzas	ˈsĩzɐʃ
169	to burn	"arder, queimar"	"ɐɾˈdeɾ, kɐjˈmaɾ, kejˈmaɾ"
170	road	"estrada, rua"	"ɨʃˈtɾadɐ, ˈʁuɐ"
171	mountain	montanha	mõˈtɐɲɐ
172	red	vermelho	"vɨɾˈmɐjʎu, vɨɾˈmeʎu"
173	green	verde	ˈveɾdɨ
174	yellow	amarelo	ɐmɐˈɾɛlu
175	white	branco	ˈbɾɐ̃ku
176	black	"preto, negro"	"ˈpɾetu, ˈneɡɾu"
177	night	noite	ˈnɔjtɨ
178	day	dia	ˈdiɐ
179	year	ano	ˈɐnu
180	warm	"quente, morno"	"kẽˈtɨ, ˈmoɾnu"
181	cold	frio	ˈfɾiu
182	full	cheio	"ˈʃɐju, ˈʃeju"
183	new	novo	ˈnovu
184	old	velho	ˈvɛʎu
185	good	bom	bõ
186	bad	mau	maw
187	rotten	podre	ˈpodɾɨ
188	dirty	sujo	ˈsuʒu
189	straight	"directo, recto"	"diˈɾektu, ˈʁɛktu"
190	round	redondo	ʁɨˈdõdu
191	sharp (as a knife)	"afiado, aguçado"	"ɐfiˈadu, ɐɡuˈsadu"
192	dull (as a knife)	cego	ˈsɛɣu
193	smooth	"liso, suave"	"ˈlizu, ˈswavɨ"
194	wet	"úmido, molhado"	"ˈumiðu, muˈʎaðu"
195	dry	seco	ˈseku
196	correct	"correcto, correto"	kuˈʁɛktu
197	near	"perto, próximo"	"ˈpɛɾtu, ˈpɾɔsimu"
198	far	"longe, distante"	"ˈlõʒɨ, diʃˈtɐ̃tɨ"
199	right	direita	"di'rɐjtɐ, di'rejtɐ"
200	left	esquerda	ɨʃˈkeɾðɐ
201	at	"a, em"	"ɐ, ɐ̃j̃, ẽj̃"
202	in	em	"ɐ̃j̃, ẽj̃"
203	with	com	kõ
204	and	e	i
205	if	se	sɨ
206	because	porque	ˈpuɾkɨ
207	name	nome	ˈnomɨ
