N	English	Spelling	IPA
126	to turn (intransitive)	"virar, girar"	"viˈɾaɾ, ʒiˈɾaɾ"
127	to fall	cair	kɐˈiɾ
128	to give	dar	daɾ
129	to hold	"segurar, ter"	"sɨɡuˈɾaɾ, te(ʁ)"
130	to squeeze	"apertar, comprimir"	"ɐpɨɾˈtaɾ, kumpɾiˈmiɾ"
131	to rub	esfregar	ɨʃfɾɨˈɡaɾ
132	to wash	lavar	lɐˈvaɾ
133	to wipe	enxugar	ẽʃuˈɡaɾ
134	to pull	puxar	puˈʃaɾ
135	to push	empurrar	ẽpuˈʁaɾ
136	to throw	"atirar, lançar"	"ɐtiˈɾaɾ, lɐ̃ˈsaɾ"
137	to tie	"atar, amarrar"	"ɐˈtaɾ, amaˈraɾ"
138	to sew	"coser, costurar"	"kuˈzeɾ, kostuˈɾaɾ"
139	to count	contar	kõˈtaɾ
140	to say	dizer	diˈzeɾ
141	to sing	cantar	kɐ̃ˈtaɾ
142	to play	"brincar, jogar"	"bɾĩˈkaɾ, ʒuˈɡaɾ"
143	to float	"flutuar, boiar"	"flutuˈaɾ, bojˈaɾ"
144	to flow	fluir	fluˈiɾ
145	to freeze	"gelar, congelar"	"ʒɨˈlaɾ, kuɲʒɨˈlaɾ"
146	to swell	"inchar, intumescer"	"ĩˈʃaɾ, ĩtumeˈseɾ"
147	sun	sol	sɔl
148	moon	lua	ˈluɐ
149	star	estrela	ɨʃˈtɾelɐ
150	water	água	ˈaɡwɐ
151	rain	chuva	ˈʃuvɐ
152	river	rio	ˈʁiu
153	lake	lago	ˈlaɡu
154	sea	mar	maɾ
155	salt	sal	sal
156	stone	pedra	ˈpɛdɾɐ
157	sand	areia	ɐˈɾɐjɐ
158	dust	"poeira, pó"	"puˈɐjɾɐ, pɔ"
159	earth	"terra, solo"	"ˈtɛʁɐ, ˈsɔlu"
160	cloud	nuvem	ˈnuvɐ̃j
161	fog	"nevoeiro, névoa, neblina"	"nɨvuˈɐjɾu, ˈnɛvwɐ, neˈblina"
162	sky	céu	sɛw
163	wind	vento	ˈvẽtu
164	snow	neve	ˈnɛvɨ
165	ice	gelo	ˈʒelu
166	smoke	"fumo, fumaça"	"ˈfumu, fuˈmasa"
167	fire	fogo	ˈfoɡu
168	ash	cinzas	ˈsĩzɐʃ
169	to burn	"arder, queimar"	"ɐɾˈdeɾ, kɐjˈmaɾ"
170	road	"estrada, rua"	"ɨʃˈtɾadɐ, ˈʁuɐ"
171	mountain	montanha	mõˈtɐɲɐ
172	red	vermelho	vɨɾˈmɐjʎu
173	green	verde	ˈveɾdɨ
174	yellow	amarelo	ɐmɐˈɾɛlu
175	white	branco	ˈbɾɐ̃ku
176	black	"preto, negro"	"ˈpɾetu, ˈneɡɾu"
177	night	noite	ˈnɔjtɨ
178	day	dia	ˈdiɐ
179	year	ano	ˈɐnu
180	warm	"quente, morno"	"kẽˈtɨ, ˈmoɾnu"
181	cold	frio	ˈfɾiu
182	full	cheio	ˈʃɐju
183	new	novo	ˈnovu
184	old	velho	ˈvɛʎu
185	good	bom	bõ
186	bad	mau	maw
187	rotten	podre	ˈpodɾɨ
188	dirty	sujo	ˈsuʒu
189	straight	"directo, recto"	"diˈɾɐjtu, ˈʁɛtu"
190	round	redondo	ʁɨˈdõdu
191	sharp (as a knife)	"afiado, aguçado"	"ɐfiˈadu, ɐɡuˈsadu"
192	dull (as a knife)	cego	ˈsɛɡu
193	smooth	"liso, suave"	"ˈlizu, ˈswavi"
194	wet	"úmido, molhado"	"ˈumidu, muˈʎaðu"
195	dry	seco	ˈseku
196	correct	"correcto, correto"	koˈʁɛtu
197	near	"perto, próximo"	"ˈpɛʁtu, ˈpɾɔsimu"
198	far	"longe, distante"	"ˈlõʒi, d͡ʒisˈtɐ̃t͡ʃi"
199	right	direita	diˈɾɐjtɐ
200	left	esquerda	ɨʃˈkeɾðɐ
201	at	"a, em"	"a, ẽj̃"
202	in	em	ẽj̃
203	with	com	kõ
204	and	e	i
205	if	se	si
206	because	porque	pʊɾˈke
207	name	nome	ˈnɔmi
