Gen	lnL	lnP	TL	Insertion	Deletion	
10600	-36193.4	-979.223	3.25555	0.198989	0.23663	
10700	-36210.6	-979.379	3.25555	0.197329	0.234656	
10800	-36176	-980.068	3.41107	0.197329	0.234656	
10900	-36177.6	-977.711	3.24464	0.197329	0.234656	
11000	-36207.8	-978.646	3.23416	0.197329	0.234656	
11100	-36207.7	-978.819	3.23416	0.197329	0.234656	
11200	-36192.2	-978.539	3.25816	0.197329	0.234656	
11300	-36189.2	-979.05	3.32655	0.197329	0.234656	
11400	-36207.4	-979.57	3.32655	0.197329	0.234656	
11500	-36190.9	-979.684	3.38994	0.197329	0.234656	
11600	-36190.3	-980.282	3.43246	0.197329	0.234656	
11700	-36210.7	-979.26	3.24364	0.197329	0.234656	
11800	-36216.3	-979.26	3.24364	0.197329	0.234656	
11900	-36202.4	-979.85	3.28528	0.197329	0.234656	
12000	-36214.9	-980.543	3.28528	0.197329	0.234656	
12100	-36215.6	-980.196	3.28528	0.197329	0.234656	
12200	-36218.7	-979.813	3.2296	0.197329	0.234656	
12300	-36218.6	-979.53	3.20135	0.197329	0.234656	
12400	-36219	-979.194	3.21968	0.197329	0.234656	
12500	-36233.4	-979.424	3.20804	0.197329	0.234656	
12600	-36210.2	-982.465	3.20804	0.212801	0.253055	
12700	-36197.8	-982.638	3.20804	0.212801	0.253055	
12800	-36176.8	-982.323	3.2285	0.212801	0.253055	
12900	-36166.9	-982.323	3.2285	0.212801	0.253055	
13000	-36155.8	-982.623	3.32781	0.212801	0.253055	
13100	-36160.1	-981.402	3.22309	0.212801	0.253055	
13200	-36155.5	-981.397	3.25717	0.212801	0.253055	
13300	-36165.4	-976.505	3.26639	0.190033	0.22598	
13400	-36157.3	-978.978	3.28907	0.19934	0.237338	
13500	-36154.5	-979.115	3.28535	0.19934	0.237338	
13600	-36159.4	-979.682	3.30718	0.19934	0.237338	
13700	-36151.1	-979.333	3.30718	0.19934	0.237338	
13800	-36163.4	-980.633	3.38479	0.19934	0.237338	
13900	-36141.8	-978.055	3.21419	0.19934	0.237338	
14000	-36142.4	-978.578	3.21419	0.19934	0.237338	
14100	-36112.3	-978.503	3.36371	0.19934	0.237338	
14200	-36127.4	-975.98	3.11146	0.19934	0.237338	
14300	-36125.2	-976.721	3.13321	0.19934	0.237338	
14400	-36116.1	-975.767	3.10757	0.19934	0.237338	
14500	-36109.8	-976.561	3.18696	0.19934	0.237338	
14600	-36096.6	-975.689	3.18696	0.19934	0.237338	
14700	-36084.2	-975.318	3.29729	0.193408	0.230276	
14800	-36079.2	-976.243	3.35489	0.193408	0.230276	
14900	-36107.1	-979.363	3.39384	0.201095	0.239428	
15000	-36100.6	-976.614	3.10148	0.201095	0.239428	
15100	-36097.3	-977.623	3.16749	0.201095	0.239428	
15200	-36090.5	-977.35	3.14015	0.201095	0.239428	
15300	-36113.7	-977.383	3.09109	0.201095	0.239428	
15400	-36119.3	-978.893	3.35946	0.201646	0.238877	
15500	-36138.2	-979.048	3.32418	0.201646	0.238877	
15600	-36135.6	-978.709	3.32418	0.201646	0.238877	
15700	-36145.6	-977.677	3.17013	0.201646	0.238877	
15800	-36150.9	-977.338	3.17013	0.201646	0.238877	
15900	-36147.7	-977.812	3.2175	0.201646	0.238877	
16000	-36145.5	-978.188	3.28901	0.201646	0.238877	
16100	-36160.2	-978.696	3.28901	0.201646	0.238877	
16200	-36165.8	-978.603	3.27967	0.201646	0.238877	
16300	-36161.8	-978.434	3.27967	0.201646	0.238877	
16400	-36141.9	-977.756	3.27967	0.201646	0.238877	
16500	-36122.4	-977.756	3.27967	0.201646	0.238877	
16600	-36106.1	-976.488	3.27967	0.201943	0.23858	
16700	-36099.1	-975.667	3.23092	0.201943	0.23858	
16800	-36091.9	-977.704	3.40134	0.201943	0.23858	
16900	-36083.8	-975.916	3.28951	0.201163	0.23766	
17000	-36117.5	-976.916	3.28951	0.201163	0.23766	
17100	-36118.6	-977.628	3.36073	0.201163	0.23766	
17200	-36134.7	-977.067	3.36073	0.201841	0.236982	
17300	-36147.8	-976.144	3.24658	0.202111	0.237299	
17400	-36134.8	-983.726	3.21353	0.198983	0.240427	
17500	-36117.6	-982.969	3.21353	0.198983	0.240427	
17600	-36108.1	-984.921	3.37086	0.198983	0.240427	
17700	-36097.5	-983.596	3.27623	0.198983	0.240427	
17800	-36108.3	-983.84	3.24387	0.198983	0.240427	
17900	-36094.3	-984.445	3.37997	0.198983	0.240427	
18000	-36093.6	-983.578	3.31226	0.198983	0.240427	
18100	-36103.7	-983.477	3.41533	0.192144	0.232162	
18200	-36121.2	-984.234	3.41533	0.192144	0.232162	
18300	-36120.6	-982.981	3.36575	0.192144	0.232162	
18400	-36140.4	-984.116	3.36575	0.192144	0.232162	
18500	-36160.3	-984.873	3.36575	0.192144	0.232162	
18600	-36152.8	-985.209	3.47504	0.192144	0.232162	
18700	-36147.1	-983.131	3.22934	0.192144	0.232162	
18800	-36124.1	-981.995	3.22934	0.192144	0.232162	
18900	-36119.9	-983.613	3.39107	0.192144	0.232162	
19000	-36101.7	-982.65	3.31371	0.192144	0.232162	
19100	-36092.5	-981.441	3.28742	0.192144	0.232162	
19200	-36122.2	-982.34	3.28273	0.192144	0.232162	
19300	-36123.1	-982.529	3.28273	0.192144	0.232162	
19400	-36116.2	-981.506	3.25605	0.192144	0.232162	
19500	-36093.7	-977.364	3.38946	0.193498	0.230808	
19600	-36089.8	-974.268	3.28463	0.194247	0.230059	
19700	-36084.2	-975.363	3.29753	0.198668	0.235295	
19800	-36083.2	-975.363	3.29753	0.198668	0.235295	
19900	-36065.7	-974.496	3.27849	0.198668	0.235295	
20000	-36031.5	-974.384	3.24448	0.197912	0.236051	
20100	-36023.9	-975.138	3.30219	0.197912	0.236051	
20200	-36034.6	-976.124	3.33036	0.197912	0.236051	
20300	-36039.5	-975.197	3.23767	0.197912	0.236051	
20400	-36056.1	-976.006	3.28326	0.197912	0.236051	
20500	-36044.6	-976.006	3.28326	0.197912	0.236051	
20600	-36057.9	-973.968	3.19593	0.190993	0.227798	
20700	-36055.9	-974.288	3.21598	0.190951	0.22784	
20800	-36065.1	-976.856	3.34915	0.190718	0.228073	
20900	-36053.4	-976.111	3.29257	0.190718	0.228073	
21000	-36030.2	-975.93	3.29257	0.192334	0.230004	
21100	-36036.7	-980.291	3.29257	0.193546	0.233659	
21200	-36038.6	-980.103	3.29257	0.193546	0.233659	
21300	-36044.4	-981.026	3.29541	0.193417	0.233788	
21400	-36063.4	-981.335	3.30736	0.193417	0.233788	
21500	-36028.6	-980.766	3.30736	0.193417	0.233788	
21600	-36028.7	-981.179	3.36764	0.193417	0.233788	
21700	-36038.9	-974.494	3.36764	0.195598	0.231607	
21800	-36031.3	-974.084	3.32663	0.195598	0.231607	
21900	-36026.8	-972.538	3.32663	0.190843	0.225977	
22000	-36016.5	-972.369	3.32663	0.190843	0.225977	
22100	-36008.7	-971.962	3.3028	0.190843	0.225977	
22200	-35991.4	-970.779	3.3028	0.190843	0.225977	
22300	-35986.7	-970.491	3.29092	0.190843	0.225977	
22400	-35989.8	-971.167	3.29092	0.190843	0.225977	
22500	-35999.2	-972.871	3.42746	0.190843	0.225977	
22600	-35996.8	-972.092	3.36651	0.190843	0.225977	
22700	-36022.2	-972.883	3.34424	0.190843	0.225977	
22800	-36006.8	-972.104	3.31698	0.190843	0.225977	
22900	-36017.8	-972.442	3.31698	0.190843	0.225977	
23000	-36007.8	-971.96	3.30262	0.190843	0.225977	
23100	-35997.1	-978.803	3.30262	0.188698	0.228122	
23200	-35981.2	-978.423	3.30262	0.188698	0.228122	
23300	-36011.9	-979.94	3.30254	0.188698	0.228122	
23400	-36020.3	-980.32	3.30254	0.188698	0.228122	
23500	-36041.9	-981.396	3.33428	0.188698	0.228122	
23600	-36023.2	-979.723	3.24289	0.188698	0.228122	
23700	-36026.2	-981.184	3.30699	0.194126	0.234685	
23800	-36014.9	-977.643	3.19916	0.186413	0.225361	
23900	-36004.2	-970.673	3.23082	0.188483	0.223291	
24000	-36007.4	-971.571	3.35449	0.188483	0.223291	
24100	-36014.6	-971.803	3.39471	0.188483	0.223291	
24200	-36017.1	-969.562	3.15359	0.188483	0.223291	
24300	-36007.5	-972.083	3.40568	0.188483	0.223291	
24400	-36006.7	-972.083	3.40568	0.188483	0.223291	
24500	-36014.8	-972.252	3.40568	0.188483	0.223291	
24600	-36020.4	-972.422	3.40568	0.188483	0.223291	
24700	-36015.7	-970.403	3.2547	0.188483	0.223291	
24800	-36035.5	-971.929	3.2547	0.188483	0.223291	
