Gen	lnL	lnP	TL	Insertion	Deletion	R[0-0]	R[0-1]	R[0-2]	R[0-3]	R[0-4]	R[1-1]	R[1-2]	R[1-3]	R[1-4]	R[2-2]	R[2-3]	R[2-4]	R[3-3]	R[3-4]	R[4-4]	F[0]	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]	F[9]	F[10]	F[11]	F[12]	F[13]	F[14]	F[15]	F[16]	F[17]	F[18]	F[19]	F[20]	F[21]	F[22]	F[23]	F[24]	F[25]	F[26]	F[27]	F[28]	F[29]	F[30]	F[31]	F[32]	F[33]	F[34]	F[35]	F[36]	F[37]	F[38]	F[39]	F[40]	F[41]	F[42]	F[43]	F[44]	F[45]	F[46]	F[47]	F[48]	F[49]	F[50]	F[51]	F[52]	F[53]	F[54]	F[55]	F[56]	F[57]	F[58]	F[59]	F[60]	F[61]	F[62]	F[63]	F[64]	F[65]	F[66]	F[67]	F[68]	F[69]	F[70]	F[71]	F[72]	F[73]	F[74]	F[75]	F[76]	F[77]	F[78]	F[79]	F[80]	F[81]	F[82]	
4500	-4143.987586	288.807569	4.217112	0.116697	0.151618	0.380487	0.042060	0.010487	0.005452	0.000487	0.221685	0.001989	0.024166	0.004991	0.084191	0.002673	0.000400	0.062253	0.070308	0.088371	0.018479	0.004436	0.004632	0.013388	0.017463	0.016576	0.050940	0.021199	0.002153	0.017380	0.001181	0.002365	0.011624	0.049590	0.022076	0.001162	0.019454	0.002023	0.010823	0.016807	0.046098	0.030335	0.007297	0.012615	0.011274	0.006919	0.017114	0.009812	0.004541	0.008935	0.001266	0.002554	0.002001	0.016056	0.009854	0.025574	0.006447	0.012744	0.004510	0.010327	0.052173	0.000807	0.007034	0.011690	0.010817	0.013803	0.019407	0.005883	0.005073	0.005382	0.007467	0.006829	0.045019	0.007148	0.040049	0.012661	0.010251	0.000131	0.000860	0.014812	0.011791	0.005890	0.008926	0.015191	0.000922	0.003696	0.000100	0.001605	0.004466	0.002401	0.004775	0.001917	0.000475	0.002126	0.002719	0.004795	0.004161	0.011008	0.001750	0.027214	0.016008	0.004685	0.036061	
4600	-4137.171655	281.948250	4.042013	0.149595	0.194360	0.354961	0.040847	0.012308	0.009732	0.000489	0.235808	0.001616	0.020596	0.003347	0.087822	0.001453	0.000830	0.067692	0.066064	0.096435	0.018865	0.004529	0.004729	0.013667	0.017828	0.016922	0.052002	0.021641	0.002198	0.017743	0.001205	0.002414	0.011866	0.039630	0.022537	0.001186	0.019860	0.002065	0.011049	0.017157	0.047060	0.030968	0.007449	0.012878	0.011509	0.007064	0.017471	0.010017	0.004635	0.009121	0.001293	0.002607	0.002043	0.016391	0.010060	0.026108	0.006581	0.013010	0.004604	0.010542	0.053262	0.000823	0.007181	0.004261	0.011043	0.014091	0.019812	0.006006	0.005179	0.005494	0.007622	0.006971	0.045958	0.005103	0.040884	0.012925	0.010465	0.000134	0.000877	0.015121	0.012037	0.006013	0.009112	0.015508	0.000941	0.003773	0.000102	0.001639	0.004559	0.002451	0.004874	0.001957	0.000485	0.002170	0.002776	0.004895	0.004248	0.011237	0.001787	0.027782	0.016342	0.004783	0.036813	
4700	-4139.190281	283.187706	3.750937	0.149595	0.194360	0.347323	0.053379	0.014495	0.012410	0.002398	0.230661	0.000967	0.023698	0.004543	0.089977	0.001301	0.001330	0.058683	0.078239	0.080595	0.018921	0.004542	0.004743	0.013708	0.018493	0.016972	0.052157	0.021706	0.002205	0.017796	0.001209	0.002421	0.011901	0.039748	0.022604	0.001190	0.019919	0.002072	0.011082	0.017208	0.047200	0.031060	0.007471	0.012917	0.011543	0.007085	0.017523	0.010047	0.004649	0.005556	0.001296	0.002615	0.002049	0.016439	0.010090	0.026185	0.006601	0.013049	0.004618	0.010573	0.053421	0.000826	0.007203	0.004274	0.011076	0.014133	0.019871	0.006023	0.005195	0.005510	0.007645	0.006992	0.046095	0.005118	0.041006	0.012963	0.010496	0.000134	0.000880	0.015166	0.012073	0.006031	0.009140	0.015554	0.000944	0.003784	0.000102	0.001643	0.004572	0.002458	0.004889	0.001963	0.000486	0.002176	0.002784	0.004910	0.004260	0.011271	0.001792	0.027864	0.016391	0.004797	0.036923	
4800	-4145.518439	283.187706	3.750937	0.149595	0.194360	0.365849	0.042692	0.021500	0.007612	0.002333	0.214130	0.002020	0.022461	0.004358	0.086912	0.000428	0.001692	0.069225	0.075684	0.083104	0.018865	0.004529	0.004729	0.013667	0.018439	0.016922	0.052003	0.021641	0.002198	0.021527	0.001205	0.002414	0.011866	0.039630	0.016845	0.001186	0.019860	0.002065	0.011049	0.017157	0.047060	0.030968	0.007449	0.012878	0.011509	0.007064	0.017471	0.010017	0.004635	0.005540	0.001293	0.002607	0.002043	0.016391	0.010060	0.026108	0.006581	0.013010	0.004604	0.010542	0.053262	0.000823	0.007181	0.004261	0.011043	0.014091	0.019812	0.006006	0.005179	0.005494	0.007622	0.009747	0.045958	0.005103	0.040884	0.012925	0.012566	0.000134	0.000877	0.015121	0.012037	0.006013	0.009112	0.015508	0.000941	0.003773	0.000102	0.001639	0.004559	0.002451	0.004874	0.001957	0.000485	0.002170	0.002776	0.004895	0.004248	0.011237	0.001787	0.027782	0.016342	0.004783	0.036813	
4900	-4141.400975	283.803029	3.614058	0.150880	0.193076	0.365849	0.042692	0.021500	0.007612	0.002333	0.214130	0.002020	0.022461	0.004358	0.086912	0.000428	0.001692	0.069225	0.075684	0.083104	0.019074	0.004579	0.004781	0.013818	0.018302	0.017110	0.052579	0.021881	0.002223	0.021766	0.001219	0.002441	0.011998	0.040069	0.017032	0.001199	0.020080	0.002088	0.011171	0.017348	0.047582	0.031311	0.007531	0.013021	0.011637	0.007142	0.017665	0.010128	0.004687	0.005601	0.001307	0.002636	0.001530	0.016572	0.010171	0.026397	0.006654	0.013154	0.004655	0.010659	0.053852	0.000833	0.007261	0.004308	0.011166	0.014247	0.020032	0.006072	0.005237	0.005555	0.007707	0.009855	0.046467	0.003069	0.041338	0.013068	0.012705	0.000136	0.000887	0.015289	0.012170	0.006080	0.009213	0.015680	0.000952	0.003815	0.000103	0.001657	0.004609	0.002478	0.004929	0.001979	0.000490	0.002194	0.002807	0.004950	0.004295	0.003243	0.001807	0.028090	0.016523	0.004836	0.037221	
5000	-4137.881479	283.645632	3.648604	0.150880	0.193076	0.358383	0.038706	0.018197	0.007847	0.000445	0.219686	0.000665	0.020400	0.003537	0.098377	0.001512	0.002856	0.077730	0.073656	0.078005	0.019137	0.004594	0.004797	0.013864	0.018363	0.017166	0.052752	0.021953	0.002230	0.021837	0.001223	0.003295	0.012037	0.040201	0.017088	0.001203	0.020146	0.002095	0.011208	0.017813	0.047738	0.031414	0.007556	0.013064	0.011675	0.007165	0.017723	0.010161	0.004702	0.005619	0.001311	0.002645	0.001535	0.016627	0.010205	0.026484	0.006676	0.013198	0.004670	0.010694	0.054029	0.000835	0.007285	0.004322	0.011202	0.014294	0.020097	0.006092	0.005254	0.005573	0.007732	0.009887	0.046620	0.003079	0.041473	0.013111	0.012747	0.000136	0.000890	0.015339	0.012210	0.001561	0.009244	0.015731	0.000955	0.003828	0.000104	0.001662	0.004624	0.002486	0.004945	0.001985	0.000492	0.002201	0.002816	0.004966	0.004309	0.003253	0.001813	0.028182	0.016578	0.004851	0.037344	
5100	-4117.426670	283.511160	3.678371	0.150880	0.193076	0.358383	0.038706	0.018197	0.007847	0.000445	0.219686	0.000665	0.020400	0.003537	0.098377	0.001512	0.002856	0.077730	0.073656	0.078005	0.019066	0.004577	0.004779	0.013813	0.018295	0.017103	0.052558	0.031511	0.002222	0.021757	0.001218	0.003283	0.011993	0.040053	0.017025	0.001199	0.020072	0.002088	0.011167	0.017747	0.047562	0.031299	0.007528	0.013016	0.011632	0.007139	0.017657	0.010124	0.004685	0.005599	0.001306	0.002635	0.001529	0.016566	0.010167	0.026386	0.006651	0.013149	0.004653	0.010655	0.053830	0.000832	0.007258	0.004306	0.011161	0.014241	0.020023	0.006070	0.005234	0.005553	0.007704	0.009851	0.032433	0.003068	0.041321	0.013063	0.012700	0.000135	0.000887	0.015283	0.012165	0.001556	0.009210	0.015673	0.009007	0.003813	0.000103	0.001656	0.004607	0.002477	0.004927	0.001978	0.000490	0.002193	0.002805	0.004948	0.004293	0.003241	0.001806	0.028078	0.016517	0.004834	0.037206	
5200	-4115.671684	283.511160	3.678371	0.152814	0.191141	0.358383	0.038706	0.018197	0.007847	0.000445	0.219686	0.000665	0.020400	0.003537	0.098377	0.001512	0.002856	0.077730	0.073656	0.078005	0.019276	0.004628	0.004832	0.013965	0.018497	0.017291	0.053137	0.031858	0.002246	0.021997	0.001232	0.003319	0.007739	0.040495	0.017213	0.001212	0.020293	0.002111	0.011290	0.017943	0.048087	0.031644	0.007611	0.013160	0.011760	0.007218	0.017852	0.010235	0.004736	0.005661	0.001321	0.002664	0.001546	0.021074	0.010279	0.026677	0.006725	0.013294	0.004704	0.010772	0.054424	0.000841	0.006436	0.004354	0.003952	0.014398	0.029253	0.006137	0.005292	0.005614	0.007789	0.009960	0.032791	0.003102	0.041777	0.013207	0.012840	0.000137	0.000897	0.015451	0.012299	0.001573	0.009311	0.004101	0.009107	0.003856	0.000104	0.001674	0.004658	0.002505	0.004981	0.002000	0.000495	0.002217	0.002836	0.005002	0.004340	0.003277	0.001826	0.028388	0.016699	0.004887	0.037617	
5300	-4092.733200	286.256886	3.678371	0.140616	0.175882	0.333576	0.040543	0.017887	0.012680	0.000678	0.223040	0.001688	0.028983	0.002695	0.109898	0.001241	0.001690	0.066591	0.083414	0.075395	0.062236	0.004415	0.004610	0.013324	0.017647	0.016497	0.050697	0.030395	0.002143	0.020986	0.001175	0.003167	0.007384	0.038634	0.016422	0.001156	0.019361	0.002014	0.010771	0.017119	0.045878	0.030190	0.007262	0.012555	0.011220	0.006886	0.017032	0.009765	0.004519	0.010389	0.001260	0.002542	0.001475	0.020106	0.009807	0.025452	0.006416	0.012683	0.004488	0.010277	0.038215	0.000803	0.006140	0.004154	0.003770	0.013737	0.027909	0.005855	0.009651	0.005356	0.007431	0.009502	0.031285	0.002959	0.039858	0.012600	0.012250	0.000131	0.000855	0.014742	0.011734	0.001501	0.008884	0.003913	0.008688	0.003678	0.000095	0.001597	0.004444	0.002389	0.010966	0.001908	0.000473	0.002115	0.002706	0.004772	0.004141	0.003127	0.001742	0.027084	0.015932	0.004662	0.035889	
5400	-4099.693545	283.089548	4.451241	0.140616	0.175882	0.344676	0.035709	0.017265	0.008062	0.000552	0.230109	0.003252	0.028251	0.003980	0.100333	0.000389	0.001810	0.054058	0.087067	0.084486	0.062124	0.004407	0.004602	0.013300	0.017615	0.016467	0.050605	0.030340	0.002139	0.020949	0.001173	0.003161	0.007370	0.038565	0.016393	0.001154	0.019326	0.002010	0.010752	0.017088	0.045796	0.030136	0.007249	0.012533	0.011200	0.006874	0.017002	0.009748	0.004511	0.010370	0.000100	0.002537	0.001472	0.020070	0.009789	0.025406	0.006404	0.012661	0.004480	0.010259	0.038146	0.000801	0.006129	0.004146	0.003763	0.013712	0.027859	0.005844	0.008182	0.005346	0.007418	0.009485	0.031228	0.002954	0.039786	0.012577	0.012228	0.000130	0.000854	0.014715	0.011713	0.001498	0.008868	0.008311	0.008673	0.003672	0.000094	0.001595	0.004436	0.002385	0.010946	0.001905	0.000472	0.002112	0.002701	0.004764	0.004133	0.003121	0.001739	0.027035	0.015903	0.004654	0.035824	
