Gen	lnL	lnP	TL	Insertion	Deletion	R[0-0]	R[0-1]	R[0-2]	R[0-3]	R[0-4]	R[1-1]	R[1-2]	R[1-3]	R[1-4]	R[2-2]	R[2-3]	R[2-4]	R[3-3]	R[3-4]	R[4-4]	F[0]	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]	F[9]	F[10]	F[11]	F[12]	F[13]	F[14]	F[15]	F[16]	F[17]	F[18]	F[19]	F[20]	F[21]	F[22]	F[23]	F[24]	F[25]	F[26]	F[27]	F[28]	F[29]	F[30]	F[31]	F[32]	F[33]	F[34]	F[35]	F[36]	F[37]	F[38]	F[39]	F[40]	F[41]	F[42]	F[43]	F[44]	F[45]	F[46]	F[47]	F[48]	F[49]	F[50]	F[51]	F[52]	F[53]	F[54]	F[55]	F[56]	F[57]	F[58]	F[59]	F[60]	F[61]	F[62]	F[63]	F[64]	F[65]	F[66]	F[67]	F[68]	F[69]	F[70]	F[71]	F[72]	F[73]	F[74]	F[75]	F[76]	F[77]	F[78]	F[79]	F[80]	F[81]	F[82]	
4900	-4170.139170	277.504067	3.748507	0.171638	0.229261	0.157314	0.022793	0.109362	0.005859	0.004660	0.242857	0.006058	0.014624	0.004386	0.113092	0.029193	0.001504	0.122964	0.072178	0.093156	0.073333	0.007181	0.007973	0.008293	0.024044	0.003438	0.037961	0.018265	0.008567	0.006901	0.065516	0.001132	0.014555	0.000266	0.004609	0.007452	0.021182	0.001836	0.011816	0.023440	0.021989	0.002154	0.005357	0.010147	0.035085	0.007927	0.010634	0.018219	0.005530	0.006318	0.038568	0.022781	0.004120	0.057752	0.012331	0.036435	0.001047	0.012864	0.000140	0.010774	0.016911	0.008757	0.005704	0.003098	0.000100	0.006822	0.014960	0.005680	0.007831	0.004490	0.039270	0.002916	0.029511	0.001076	0.000982	0.002454	0.010113	0.004850	0.005709	0.006401	0.026500	0.004579	0.005659	0.005685	0.003195	0.001731	0.055527	0.000204	0.009867	0.000679	0.001979	0.004824	0.001054	0.004474	0.012858	0.000714	0.001636	0.004144	0.002639	0.001443	0.001594	0.001047	0.002398	
5000	-4181.589694	277.545730	3.739089	0.171638	0.229261	0.164953	0.021000	0.093218	0.006076	0.004608	0.228338	0.012667	0.014070	0.004642	0.122009	0.025655	0.002534	0.133215	0.076881	0.090134	0.074832	0.007328	0.008136	0.008462	0.024535	0.003508	0.038737	0.018638	0.008742	0.007042	0.066856	0.001155	0.014853	0.000272	0.004703	0.007604	0.021615	0.001874	0.012058	0.023919	0.022439	0.002199	0.005467	0.010354	0.035802	0.008089	0.010852	0.018591	0.005643	0.006448	0.039356	0.023247	0.004204	0.058933	0.012583	0.020739	0.001069	0.013127	0.000143	0.010994	0.017256	0.008936	0.005820	0.003162	0.000102	0.006962	0.015266	0.005796	0.007991	0.004582	0.040073	0.002975	0.030114	0.001098	0.001002	0.002504	0.010320	0.004949	0.005826	0.006531	0.027041	0.004673	0.005976	0.005802	0.003261	0.001767	0.056662	0.000208	0.010068	0.000693	0.002020	0.004922	0.001075	0.000758	0.013121	0.000729	0.001669	0.004229	0.002693	0.001473	0.001232	0.001068	0.002447	
5100	-4177.935906	285.458480	3.739089	0.137761	0.184010	0.157767	0.019846	0.112728	0.004576	0.004652	0.246343	0.008022	0.011651	0.002750	0.135943	0.020037	0.003862	0.123415	0.068699	0.079708	0.074605	0.007306	0.008112	0.008436	0.024461	0.003497	0.038620	0.018581	0.008715	0.007020	0.066653	0.001151	0.014808	0.000271	0.004881	0.007581	0.021549	0.001868	0.012021	0.023847	0.022371	0.002192	0.005450	0.010323	0.035694	0.012408	0.010819	0.018535	0.005626	0.006428	0.039237	0.023177	0.004192	0.058754	0.012544	0.020676	0.001066	0.013087	0.000142	0.010960	0.017204	0.008909	0.005802	0.003152	0.000101	0.006941	0.015219	0.004281	0.007967	0.004568	0.039951	0.002966	0.030023	0.001095	0.000999	0.002496	0.010288	0.004934	0.005809	0.006511	0.026959	0.004659	0.005958	0.005784	0.003251	0.001761	0.056490	0.000208	0.010038	0.000690	0.002014	0.004907	0.001072	0.000756	0.013081	0.000727	0.001664	0.004216	0.002685	0.001468	0.001229	0.001065	0.002440	
5200	-4149.585906	285.250232	3.786394	0.137761	0.184010	0.166964	0.019570	0.108221	0.011746	0.010008	0.227558	0.008396	0.006530	0.003164	0.149305	0.010277	0.000592	0.107467	0.084053	0.086149	0.075170	0.007361	0.008173	0.008500	0.024646	0.003524	0.038912	0.018722	0.008781	0.007074	0.067157	0.001160	0.014920	0.000273	0.004918	0.007638	0.021712	0.001882	0.012112	0.024027	0.022540	0.002208	0.005492	0.010401	0.035964	0.012502	0.010901	0.018675	0.005669	0.006477	0.039534	0.020060	0.004223	0.059199	0.012639	0.020833	0.001074	0.013186	0.004439	0.011043	0.017334	0.008977	0.005846	0.003176	0.000102	0.006993	0.015334	0.004313	0.008027	0.004603	0.040254	0.002989	0.030250	0.001103	0.001006	0.002515	0.010366	0.004971	0.005853	0.006561	0.027163	0.004694	0.005266	0.005828	0.003275	0.001775	0.056918	0.000209	0.002271	0.000696	0.002029	0.004945	0.001080	0.000761	0.013180	0.000732	0.001677	0.004248	0.002706	0.001479	0.001238	0.001073	0.002458	
5300	-4126.160944	285.270455	3.781775	0.137761	0.184010	0.184176	0.020491	0.136122	0.007609	0.007562	0.245457	0.010394	0.008057	0.006728	0.114851	0.004298	0.001041	0.113370	0.067945	0.071898	0.077977	0.007636	0.008478	0.008818	0.025566	0.003655	0.040365	0.019421	0.009109	0.007338	0.069665	0.001203	0.015477	0.000283	0.005101	0.007923	0.022523	0.001952	0.010754	0.018819	0.029817	0.002291	0.005697	0.010789	0.037307	0.012969	0.011308	0.019372	0.005881	0.006718	0.035478	0.020809	0.004381	0.036107	0.013111	0.021611	0.001114	0.013678	0.004604	0.011456	0.017982	0.009312	0.006065	0.003294	0.000106	0.007255	0.015907	0.004474	0.008327	0.004775	0.041757	0.003100	0.031379	0.001145	0.001044	0.002609	0.010753	0.005157	0.006071	0.006806	0.028178	0.004869	0.005463	0.006045	0.003398	0.001841	0.059043	0.000217	0.002356	0.000722	0.002105	0.000105	0.001120	0.000790	0.013672	0.000760	0.001740	0.004407	0.002807	0.001535	0.001284	0.001113	0.002550	
5400	-4124.587046	284.483669	3.965550	0.137761	0.184010	0.188173	0.025438	0.138888	0.001845	0.007164	0.247760	0.006436	0.009245	0.004148	0.096836	0.003716	0.001555	0.114829	0.078576	0.075392	0.077132	0.007553	0.008386	0.008722	0.025289	0.003616	0.039928	0.019211	0.009011	0.007258	0.068910	0.001190	0.015309	0.000280	0.005046	0.007838	0.022279	0.001931	0.010637	0.018615	0.029493	0.002266	0.005635	0.010673	0.038340	0.012828	0.011185	0.019162	0.005817	0.006646	0.035094	0.020584	0.004334	0.035716	0.012969	0.021376	0.001102	0.013530	0.004554	0.011332	0.017787	0.009211	0.005999	0.003259	0.000100	0.007176	0.024543	0.004426	0.008237	0.004723	0.041304	0.003067	0.031039	0.001132	0.001033	0.002581	0.010637	0.005101	0.006005	0.006732	0.027872	0.004817	0.005404	0.005980	0.003361	0.001821	0.058403	0.000215	0.002331	0.000714	0.002082	0.000104	0.001704	0.000781	0.013524	0.000751	0.001721	0.004359	0.002776	0.001518	0.001270	0.001101	0.002522	
5500	-4109.750584	281.995841	3.601268	0.158924	0.203690	0.180538	0.026945	0.128512	0.002455	0.004895	0.223681	0.010151	0.009789	0.005087	0.108939	0.000374	0.004354	0.132986	0.086302	0.074994	0.077259	0.006714	0.008400	0.008737	0.026084	0.003622	0.039994	0.019242	0.009026	0.007270	0.069024	0.001192	0.015335	0.000281	0.005054	0.007850	0.022316	0.001934	0.010655	0.018646	0.029542	0.002270	0.005644	0.010690	0.038403	0.012849	0.011204	0.019194	0.005826	0.006657	0.035152	0.020618	0.004341	0.035775	0.012991	0.021412	0.001104	0.013552	0.004562	0.011350	0.017816	0.009226	0.006009	0.003264	0.000100	0.007188	0.024583	0.004433	0.008251	0.004731	0.041372	0.003072	0.031091	0.001134	0.001034	0.001035	0.010654	0.005109	0.006015	0.006743	0.027918	0.004825	0.005413	0.005990	0.003366	0.001824	0.058500	0.000215	0.002334	0.000715	0.002085	0.000104	0.001707	0.000782	0.013546	0.000753	0.001724	0.004366	0.002781	0.001520	0.001272	0.001103	0.002526	
5600	-4105.372498	281.505216	3.709637	0.158924	0.203690	0.208757	0.015843	0.114447	0.004562	0.002599	0.237211	0.013478	0.009470	0.003071	0.113138	0.000963	0.007091	0.133508	0.064485	0.071376	0.076384	0.006637	0.008305	0.008638	0.025788	0.003581	0.039541	0.019024	0.008923	0.007188	0.068242	0.001179	0.015161	0.000277	0.004997	0.007762	0.022063	0.001912	0.010534	0.018435	0.029208	0.002244	0.005580	0.010569	0.037969	0.012704	0.011077	0.018977	0.005760	0.006581	0.034754	0.020384	0.004292	0.035370	0.012844	0.021169	0.001091	0.013399	0.004510	0.011222	0.017614	0.009122	0.005941	0.003227	0.000099	0.007106	0.025143	0.004383	0.008157	0.004677	0.040904	0.003037	0.030739	0.001121	0.001023	0.001023	0.010534	0.005052	0.016429	0.006667	0.027602	0.004770	0.005351	0.005922	0.003328	0.001803	0.057837	0.000213	0.002308	0.000707	0.002062	0.000103	0.001688	0.000774	0.013393	0.000744	0.001704	0.004317	0.002749	0.001503	0.001258	0.001090	0.002498	
5700	-4108.888509	283.487143	3.709637	0.150238	0.192557	0.218215	0.021587	0.111627	0.003446	0.001280	0.201915	0.018218	0.005279	0.002267	0.127459	0.001320	0.004676	0.134627	0.067606	0.080477	0.077389	0.008807	0.008414	0.008751	0.026128	0.003628	0.040061	0.019275	0.009041	0.007282	0.069140	0.001194	0.015361	0.000281	0.005063	0.007864	0.022353	0.001938	0.010673	0.018677	0.029592	0.002274	0.005654	0.010708	0.038468	0.012871	0.011223	0.019226	0.005836	0.006668	0.035211	0.005413	0.004348	0.035835	0.013013	0.021448	0.001105	0.013575	0.004570	0.011369	0.017846	0.009242	0.006019	0.003270	0.000100	0.007200	0.025474	0.004441	0.008264	0.004739	0.041442	0.003077	0.031143	0.001136	0.001036	0.001037	0.010672	0.005118	0.016646	0.006755	0.027965	0.004833	0.005422	0.006000	0.003372	0.001827	0.058598	0.000216	0.002338	0.000716	0.002089	0.000105	0.001710	0.000784	0.013569	0.000754	0.001727	0.004374	0.002785	0.001523	0.001275	0.001105	0.002531	
5800	-4110.904710	281.744287	4.120644	0.150238	0.192557	0.243726	0.020481	0.113222	0.002427	0.001250	0.211671	0.010141	0.003126	0.001714	0.105316	0.001150	0.004442	0.122102	0.069592	0.089641	0.076646	0.008722	0.008334	0.008667	0.025877	0.003593	0.039676	0.019090	0.008954	0.007213	0.068476	0.001183	0.015213	0.000278	0.014616	0.007788	0.022139	0.001919	0.010570	0.018498	0.029308	0.002252	0.005599	0.010605	0.038099	0.012747	0.011115	0.019042	0.005780	0.006604	0.034873	0.005361	0.004306	0.035491	0.012888	0.021242	0.001095	0.013445	0.004526	0.011260	0.017675	0.009153	0.005961	0.003238	0.000099	0.007131	0.025230	0.004398	0.008185	0.004693	0.041044	0.003047	0.030844	0.001125	0.001026	0.001027	0.010570	0.005069	0.016486	0.006690	0.027697	0.004786	0.005370	0.005942	0.003340	0.001810	0.058036	0.000213	0.002316	0.000709	0.002069	0.000104	0.001694	0.000776	0.013439	0.000747	0.001710	0.004332	0.002759	0.001508	0.001262	0.001094	0.002506	
