Gen	lnL	lnP	TL	Insertion	Deletion	R[0-0]	R[0-1]	R[0-2]	R[0-3]	R[0-4]	R[1-1]	R[1-2]	R[1-3]	R[1-4]	R[2-2]	R[2-3]	R[2-4]	R[3-3]	R[3-4]	R[4-4]	F[0]	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]	F[9]	F[10]	F[11]	F[12]	F[13]	F[14]	F[15]	F[16]	F[17]	F[18]	F[19]	F[20]	F[21]	F[22]	F[23]	F[24]	F[25]	F[26]	F[27]	F[28]	F[29]	F[30]	F[31]	F[32]	F[33]	F[34]	F[35]	F[36]	F[37]	F[38]	F[39]	F[40]	F[41]	F[42]	F[43]	F[44]	F[45]	F[46]	F[47]	F[48]	F[49]	F[50]	F[51]	F[52]	F[53]	F[54]	F[55]	F[56]	F[57]	F[58]	F[59]	F[60]	F[61]	F[62]	F[63]	F[64]	F[65]	F[66]	F[67]	F[68]	F[69]	F[70]	F[71]	F[72]	F[73]	F[74]	F[75]	F[76]	F[77]	F[78]	F[79]	F[80]	F[81]	F[82]	
5900	-4094.842997	283.265404	3.759643	0.150238	0.192557	0.243346	0.019294	0.111732	0.003645	0.000180	0.226389	0.005844	0.005814	0.001596	0.126014	0.000110	0.001645	0.088983	0.079304	0.086106	0.076791	0.008739	0.006475	0.008684	0.025926	0.003600	0.039752	0.019126	0.008971	0.007226	0.068606	0.001185	0.015242	0.000279	0.014644	0.007803	0.022181	0.001923	0.010590	0.018533	0.029363	0.002256	0.005610	0.010625	0.038171	0.012771	0.011574	0.019078	0.005791	0.006616	0.034939	0.005371	0.004314	0.035559	0.012912	0.021282	0.001097	0.013470	0.004534	0.011282	0.017708	0.009170	0.005973	0.003244	0.000100	0.007144	0.025277	0.004406	0.008201	0.004702	0.041122	0.003053	0.030902	0.001127	0.001028	0.001029	0.010590	0.005079	0.016517	0.006702	0.027749	0.004795	0.005380	0.005953	0.003346	0.001813	0.058146	0.000214	0.002320	0.000711	0.002073	0.000104	0.001697	0.000778	0.013464	0.000748	0.001713	0.004340	0.002764	0.001511	0.001265	0.000639	0.002511	
6000	-4084.642367	281.941267	4.072078	0.150808	0.191986	0.243346	0.019294	0.111732	0.003645	0.000180	0.226389	0.005844	0.005814	0.001596	0.126014	0.000110	0.001645	0.088983	0.079304	0.086106	0.078289	0.008909	0.006601	0.008853	0.026431	0.003670	0.040527	0.019499	0.009146	0.007367	0.069944	0.001208	0.015539	0.000284	0.014929	0.007955	0.022613	0.001960	0.010797	0.018894	0.029936	0.002300	0.005719	0.010833	0.038915	0.013021	0.011800	0.019450	0.005904	0.006745	0.035620	0.005476	0.004399	0.036252	0.013164	0.021697	0.001118	0.013733	0.004623	0.011502	0.018054	0.009349	0.006089	0.003308	0.000102	0.007284	0.025770	0.004492	0.008361	0.004794	0.041924	0.003113	0.031505	0.001149	0.001048	0.001049	0.010796	0.005178	0.016839	0.006833	0.028290	0.004889	0.005485	0.006070	0.003411	0.001848	0.039544	0.000218	0.002366	0.000960	0.002113	0.000106	0.001730	0.000793	0.013727	0.000763	0.001747	0.004424	0.002818	0.001541	0.001289	0.000651	0.002560	
6100	-4085.968025	282.566802	3.921481	0.150808	0.191986	0.248982	0.018401	0.126793	0.002637	0.000148	0.210165	0.005593	0.002798	0.001651	0.124115	0.000513	0.001833	0.104784	0.079485	0.072103	0.077508	0.008820	0.006535	0.008765	0.026168	0.003633	0.040122	0.019304	0.009055	0.017068	0.069246	0.001196	0.015384	0.000281	0.014780	0.007876	0.022388	0.001941	0.010689	0.018706	0.029637	0.002277	0.005662	0.010725	0.038527	0.012891	0.011682	0.019256	0.005845	0.006678	0.035265	0.005421	0.004355	0.035890	0.013033	0.021481	0.001107	0.013596	0.004778	0.011387	0.017873	0.009256	0.006028	0.003275	0.000101	0.007211	0.025513	0.004447	0.008277	0.004746	0.041506	0.003082	0.031191	0.001138	0.001038	0.001038	0.010689	0.005126	0.016671	0.006765	0.028008	0.004840	0.005430	0.006009	0.003377	0.001830	0.039149	0.000216	0.002342	0.000951	0.002092	0.000105	0.001713	0.000785	0.013590	0.000755	0.001729	0.004380	0.002790	0.001525	0.001277	0.000644	0.002535	
6200	-4049.053398	282.744591	3.879668	0.150808	0.191986	0.249347	0.017661	0.123814	0.002423	0.000617	0.226352	0.004781	0.003141	0.001709	0.112707	0.001122	0.003696	0.099654	0.076825	0.076151	0.076050	0.008654	0.006413	0.008600	0.025676	0.003565	0.039368	0.018941	0.008884	0.016747	0.067944	0.001174	0.015095	0.000276	0.014502	0.007728	0.021967	0.001904	0.024271	0.018354	0.029080	0.002234	0.002030	0.010523	0.037803	0.012648	0.011462	0.018894	0.005735	0.006552	0.034602	0.005319	0.004273	0.035215	0.012787	0.021077	0.001086	0.013340	0.004688	0.011173	0.017537	0.009082	0.005915	0.003213	0.000099	0.007075	0.025033	0.004364	0.008121	0.004657	0.040725	0.003024	0.030604	0.001116	0.009567	0.001019	0.010488	0.005030	0.016358	0.006638	0.027482	0.004749	0.005328	0.005896	0.003314	0.001796	0.038413	0.000212	0.002298	0.000933	0.002053	0.000103	0.001680	0.000770	0.013334	0.000741	0.001697	0.004298	0.002737	0.001497	0.001253	0.000632	0.002487	
6300	-4044.501361	281.922649	4.076645	0.150808	0.191986	0.246091	0.016719	0.123554	0.001219	0.000441	0.229203	0.004395	0.001210	0.000569	0.115276	0.001406	0.001968	0.091834	0.079294	0.086823	0.076363	0.008690	0.006439	0.008635	0.025781	0.003580	0.039530	0.025349	0.008921	0.016816	0.068223	0.001178	0.015157	0.000277	0.014562	0.007759	0.022057	0.001912	0.024371	0.018430	0.029200	0.002243	0.002039	0.010566	0.037958	0.012700	0.010735	0.018971	0.005759	0.006579	0.034744	0.005341	0.004290	0.030141	0.012840	0.021163	0.001091	0.013395	0.004707	0.011219	0.017609	0.009119	0.005939	0.003226	0.000100	0.007104	0.025136	0.004382	0.008155	0.004676	0.040893	0.003036	0.030730	0.001121	0.009607	0.001023	0.010531	0.005050	0.016425	0.006665	0.027595	0.004769	0.005350	0.005920	0.003327	0.000727	0.035195	0.000213	0.002307	0.000936	0.002061	0.000103	0.001687	0.000773	0.013389	0.000744	0.001704	0.004316	0.002749	0.001503	0.001258	0.000635	0.002497	
6400	-4051.901591	281.922649	4.076645	0.148689	0.194106	0.246091	0.016719	0.123554	0.001219	0.000441	0.229203	0.004395	0.001210	0.000569	0.115276	0.001406	0.001968	0.091834	0.079294	0.086823	0.076607	0.008718	0.006459	0.008663	0.025864	0.003591	0.039656	0.022333	0.008949	0.016870	0.068441	0.001182	0.015205	0.000278	0.014609	0.007784	0.022127	0.001918	0.024449	0.018488	0.029293	0.002251	0.002045	0.010600	0.038079	0.012741	0.010770	0.019032	0.005777	0.006600	0.034855	0.005358	0.004304	0.030238	0.012881	0.021231	0.001094	0.013438	0.004722	0.011255	0.017666	0.009148	0.005958	0.003237	0.000100	0.007127	0.025217	0.004396	0.008181	0.004691	0.041023	0.003046	0.030828	0.001124	0.009637	0.001026	0.010564	0.005066	0.016477	0.006686	0.027683	0.004784	0.005367	0.005939	0.003338	0.000729	0.035308	0.000213	0.002315	0.000939	0.001969	0.000104	0.001693	0.000776	0.013432	0.000746	0.001709	0.004329	0.002757	0.001508	0.001262	0.000637	0.002505	
6500	-4045.210571	282.405835	3.959712	0.154126	0.188668	0.248044	0.012842	0.117267	0.002183	0.001109	0.226647	0.008251	0.001280	0.000667	0.121669	0.000759	0.001920	0.088174	0.081753	0.087432	0.076956	0.008757	0.006489	0.008702	0.025982	0.003607	0.039837	0.032412	0.008990	0.016947	0.068753	0.001188	0.015275	0.000279	0.018647	0.007820	0.022228	0.001927	0.024561	0.018573	0.029426	0.002261	0.002055	0.010648	0.038253	0.012799	0.010819	0.012178	0.005804	0.006631	0.035014	0.005383	0.004324	0.030375	0.012940	0.021328	0.001099	0.013499	0.004744	0.011306	0.017746	0.009190	0.005985	0.003251	0.000100	0.006318	0.025332	0.004416	0.008017	0.004712	0.041210	0.003060	0.030969	0.001130	0.009681	0.001031	0.010613	0.005089	0.016552	0.006717	0.021884	0.004806	0.005392	0.005966	0.003353	0.000732	0.035469	0.000214	0.002325	0.000944	0.001978	0.000104	0.001700	0.000779	0.008843	0.000750	0.001717	0.004349	0.002770	0.001515	0.001267	0.000695	0.002517	
6600	-4032.687259	282.564228	3.922090	0.154126	0.188668	0.227190	0.019421	0.099915	0.001832	0.005400	0.244252	0.003872	0.002909	0.000473	0.119086	0.001037	0.000253	0.076319	0.096335	0.101707	0.081297	0.009251	0.006855	0.009193	0.027447	0.003811	0.042084	0.035720	0.009497	0.017903	0.020578	0.001255	0.016136	0.000295	0.019698	0.008261	0.023482	0.002035	0.020083	0.019620	0.031086	0.002388	0.002170	0.011249	0.040411	0.013521	0.011429	0.012865	0.006131	0.007005	0.036989	0.005687	0.004568	0.033156	0.013670	0.022531	0.001161	0.014261	0.005011	0.011944	0.018747	0.009708	0.006323	0.003435	0.000106	0.006675	0.026760	0.004665	0.008469	0.004978	0.043535	0.003232	0.032716	0.001193	0.010227	0.001089	0.011211	0.005377	0.017486	0.007096	0.023118	0.005077	0.005696	0.006303	0.003542	0.000774	0.037469	0.000226	0.002456	0.000997	0.002089	0.000110	0.000757	0.000823	0.009341	0.000792	0.001814	0.004594	0.002926	0.001600	0.001339	0.000735	0.002659	
6700	-4031.271411	281.912721	4.079082	0.154126	0.188668	0.218390	0.029225	0.104553	0.003173	0.006268	0.232668	0.003427	0.003618	0.000907	0.112352	0.000342	0.001099	0.090302	0.083639	0.110035	0.081017	0.009219	0.006831	0.009161	0.027352	0.003798	0.041939	0.035597	0.009464	0.017841	0.020507	0.001250	0.016080	0.000294	0.019630	0.008232	0.023401	0.002028	0.020014	0.019553	0.030979	0.002380	0.002163	0.011210	0.040271	0.013474	0.011389	0.012821	0.006110	0.006980	0.036861	0.005667	0.004552	0.033041	0.013623	0.022453	0.001157	0.014211	0.004994	0.011902	0.018683	0.009675	0.006301	0.003423	0.000106	0.006652	0.019037	0.004649	0.008440	0.004961	0.043384	0.003221	0.043685	0.001189	0.010192	0.001085	0.011172	0.005358	0.017426	0.007071	0.023038	0.005059	0.005676	0.006281	0.003530	0.000771	0.037340	0.000226	0.002448	0.000994	0.002082	0.000109	0.000755	0.000820	0.009309	0.000789	0.001807	0.004579	0.002916	0.001594	0.001334	0.000732	0.002649	
6800	-4013.000797	279.805682	4.108003	0.163072	0.199619	0.231153	0.026746	0.098350	0.002924	0.008704	0.241660	0.005748	0.001489	0.000449	0.108038	0.000467	0.000348	0.086280	0.081293	0.106352	0.080942	0.009211	0.006825	0.009153	0.027327	0.003794	0.041900	0.035564	0.009456	0.017824	0.020488	0.001249	0.016066	0.000294	0.019612	0.008225	0.023380	0.002027	0.019995	0.019534	0.030950	0.002378	0.002161	0.011200	0.040234	0.013462	0.011379	0.012809	0.006104	0.006974	0.036827	0.005662	0.004548	0.033011	0.013610	0.022432	0.001156	0.014198	0.004989	0.011891	0.018665	0.009666	0.006295	0.003420	0.000106	0.006646	0.019020	0.004644	0.008432	0.004956	0.043344	0.003218	0.043645	0.001188	0.010183	0.001084	0.011162	0.005353	0.017410	0.007065	0.023017	0.005055	0.005671	0.007198	0.003527	0.000770	0.037305	0.000225	0.002446	0.000993	0.002080	0.000109	0.000754	0.000820	0.009301	0.000789	0.001806	0.004574	0.002913	0.001593	0.001333	0.000731	0.002647	
6900	-4024.444687	279.320266	4.229715	0.163072	0.199619	0.216281	0.031636	0.095268	0.001176	0.006563	0.234166	0.004047	0.001781	0.000017	0.152102	0.000513	0.000129	0.079368	0.085698	0.091253	0.080829	0.009198	0.006815	0.009140	0.027289	0.003789	0.041842	0.035514	0.009443	0.017799	0.020460	0.001247	0.016043	0.000294	0.019585	0.008213	0.023347	0.002024	0.019967	0.019507	0.030907	0.002375	0.002158	0.011184	0.040178	0.013443	0.011363	0.012791	0.006096	0.006964	0.036776	0.005654	0.004541	0.032965	0.013591	0.022401	0.001155	0.014179	0.004982	0.011875	0.018639	0.009652	0.006287	0.003415	0.000105	0.006636	0.018993	0.004638	0.008420	0.004949	0.043284	0.004610	0.043584	0.001186	0.010169	0.001083	0.011147	0.005346	0.017385	0.007055	0.022985	0.005048	0.005663	0.007188	0.003522	0.000769	0.037253	0.000225	0.002442	0.000991	0.002077	0.000109	0.000753	0.000819	0.009288	0.000788	0.001803	0.004568	0.002909	0.001591	0.001331	0.000730	0.002643	
7000	-4018.262339	279.732133	4.126226	0.163072	0.199619	0.217523	0.033530	0.094050	0.000662	0.007421	0.231011	0.004489	0.001945	0.000306	0.150091	0.001283	0.000010	0.087340	0.081873	0.088465	0.081780	0.009306	0.006896	0.009248	0.027610	0.003834	0.042334	0.035932	0.009554	0.018009	0.020701	0.001262	0.016232	0.000297	0.019815	0.008310	0.023622	0.002048	0.020202	0.019737	0.031271	0.002403	0.002183	0.011316	0.040651	0.013601	0.011497	0.012942	0.006167	0.007046	0.031635	0.005720	0.004595	0.033353	0.013751	0.022665	0.001168	0.014345	0.005041	0.012015	0.018859	0.009766	0.006361	0.003455	0.000107	0.003085	0.019217	0.004693	0.008519	0.005007	0.043793	0.004664	0.044097	0.001200	0.010288	0.001096	0.011278	0.005408	0.015021	0.007138	0.023256	0.005107	0.005730	0.007272	0.003563	0.000778	0.037692	0.000228	0.002471	0.001003	0.002102	0.000111	0.000762	0.000828	0.009397	0.000797	0.001824	0.004622	0.002943	0.001609	0.001347	0.000739	0.002674	
7100	-4005.057014	280.758588	3.878813	0.163072	0.199619	0.221200	0.033897	0.092879	0.000976	0.004360	0.225291	0.003392	0.000944	0.001101	0.150164	0.000545	0.000037	0.090320	0.084895	0.089999	0.081798	0.009308	0.006897	0.010855	0.027616	0.003834	0.042343	0.035940	0.009556	0.018013	0.020705	0.001262	0.016235	0.000297	0.019820	0.008312	0.023627	0.002048	0.020207	0.019741	0.031277	0.002403	0.002184	0.011318	0.040659	0.013604	0.011499	0.012944	0.006169	0.007048	0.031642	0.005722	0.004596	0.033360	0.013754	0.022669	0.001168	0.014348	0.005042	0.012017	0.018863	0.009768	0.006362	0.003456	0.000107	0.003085	0.019221	0.004694	0.008521	0.005008	0.043803	0.004665	0.044106	0.001201	0.010290	0.001096	0.011280	0.005410	0.015024	0.007139	0.023260	0.003293	0.005731	0.007274	0.003564	0.000779	0.037700	0.000228	0.002472	0.001003	0.002102	0.000111	0.000762	0.000828	0.009399	0.000797	0.001825	0.004623	0.002944	0.001610	0.001347	0.000739	0.002675	
