Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	TL
890	-6371.644	-6363.765	-7.878687	3.803008	0.286739	0.240065	0.222248	0.0706589	0.0913311	0.122819	0.300806	0.53254	0.259613	0.18043	0.0876654	0.0959023	0.258207	0.0450873	0.085315	0.278311	0.0737933	0.0185236	0.443202	0.768109	1.08438	1.70431	3.250055
900	-6365.552	-6357.536	-8.016122	5.092606	0.241068	0.249648	0.158977	0.0360861	0.117004	0.170811	0.32262	0.325847	0.388371	0.222381	0.0995306	0.0634039	0.190162	0.0952015	0.12127	0.32273	0.0529077	0.0857804	0.505879	0.806146	1.08314	1.60484	3.263799
910	-6366.912	-6361.299	-5.613001	3.210567	0.189371	0.240944	0.146279	0.0695463	0.092321	0.117229	0.31688	0.438893	0.350627	0.22116	0.12872	0.0374182	0.154209	0.0871798	0.0786025	0.192787	0.056106	0.105213	0.404923	0.742558	1.08338	1.76914	3.023487
920	-6373.311	-6366.663	-6.648095	4.252488	0.214397	0.199296	0.18271	0.0290478	0.16296	0.180458	0.249603	0.236684	0.336427	0.184966	0.13044	0.0607201	0.201093	0.111649	0.133081	0.288707	0.0906079	0.13415	0.467717	0.783511	1.08428	1.66449	3.126996
930	-6371.122	-6363.391	-7.730762	4.506987	0.213753	0.146178	0.176075	0.0854734	0.0886233	0.182382	0.361291	0.372365	0.29303	0.215211	0.0998731	0.0635834	0.1404	0.05518	0.194116	0.363303	0.0377543	0.146673	0.480216	0.791098	1.08404	1.64465	3.235263
940	-6371.558	-6361.606	-9.952821	3.060138	0.128319	0.128932	0.218723	0.0418822	0.126692	0.123929	0.370201	0.345336	0.380707	0.274041	0.103828	0.0617958	0.142254	0.0826564	0.1338	0.547846	0.0678486	0.178677	0.393861	0.734804	1.0828	1.78854	3.457469
950	-6369.864	-6361.574	-8.290841	2.672126	0.137417	0.247247	0.193349	0.0533047	0.124712	0.125146	0.305574	0.351438	0.298208	0.207374	0.134618	0.0413825	0.190011	0.146745	0.104243	0.382383	0.100281	0.14784	0.362191	0.711591	1.08034	1.84588	3.291271
960	-6365.092	-6358.922	-6.170434	2.95486	0.148579	0.148453	0.16514	0.044954	0.120074	0.114847	0.224664	0.387804	0.31782	0.256903	0.112375	0.0548726	0.196853	0.104405	0.173434	0.300658	0.0510335	0.156361	0.385739	0.728998	1.08228	1.80298	3.07923
970	-6368.463	-6359.259	-9.204363	4.392233	0.11104	0.165764	0.170877	0.057465	0.113863	0.172981	0.340486	0.329971	0.397511	0.279328	0.153465	0.0554016	0.180535	0.0985727	0.176326	0.355983	0.038757	0.184298	0.474692	0.787767	1.08416	1.65338	3.382623
980	-6365.377	-6357.949	-7.427355	3.362159	0.16269	0.241384	0.135939	0.0549649	0.120391	0.149584	0.261144	0.376692	0.368634	0.250404	0.0495801	0.0554424	0.233206	0.0564724	0.109089	0.339669	0.042862	0.196773	0.415474	0.749794	1.0838	1.75093	3.204922
990	-6373.991	-6369.06	-4.930586	3.373315	0.147039	0.168528	0.22125	0.0655083	0.130132	0.117398	0.289532	0.254401	0.471742	0.138053	0.0781441	0.0698725	0.188878	0.0531534	0.113665	0.221517	0.0733266	0.153105	0.416228	0.750306	1.08383	1.74964	2.955245
1000	-6371.184	-6364.504	-6.680096	3.451483	0.176915	0.0679014	0.188647	0.0466354	0.094288	0.163113	0.347592	0.431216	0.267194	0.168773	0.0509534	0.0972277	0.188657	0.127079	0.093724	0.364677	0.0560753	0.199528	0.421431	0.753813	1.08399	1.74077	3.130196
