Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	TL
200	-6374.393	-6364.275	-10.1182	2.513288	0.251949	0.187227	0.2365	0.0772853	0.17211	0.123547	0.34781	0.514076	0.260018	0.214201	0.061337	0.132979	0.225023	0.088044	0.0440256	0.400891	0.0412133	0.0957696	0.347713	0.700439	1.07878	1.87307	3.474006
210	-6366.194	-6356.696	-9.497908	2.359216	0.272484	0.163419	0.167008	0.0562029	0.109395	0.122027	0.231213	0.564862	0.354345	0.276154	0.0872451	0.135666	0.236047	0.0656559	0.093446	0.347397	0.057652	0.0717586	0.332689	0.688479	1.07684	1.90199	3.411977
220	-6369.503	-6363.799	-5.70378	3.472517	0.175708	0.21345	0.142871	0.0442403	0.133524	0.116625	0.24862	0.353881	0.322563	0.21978	0.136141	0.18908	0.202228	0.0736669	0.0971854	0.181772	0.0467908	0.134439	0.422807	0.754735	1.08403	1.73843	3.032565
230	-6372.048	-6362.567	-9.481013	4.086317	0.0810729	0.103061	0.197632	0.0805566	0.082382	0.197059	0.460834	0.410573	0.352519	0.254877	0.0789996	0.114973	0.170653	0.0638885	0.0587178	0.429363	0.057915	0.215213	0.459042	0.778142	1.08438	1.67844	3.410288
240	-6370.735	-6362.26	-8.474752	2.495179	0.0763486	0.217092	0.108209	0.0785602	0.150001	0.149783	0.314244	0.464808	0.44145	0.262572	0.0870596	0.0928123	0.192398	0.0322835	0.086193	0.294014	0.0679705	0.193862	0.345999	0.699095	1.07857	1.87633	3.309662
250	-6368.945	-6360.645	-8.300276	2.86983	0.252887	0.130117	0.219904	0.094752	0.067738	0.116907	0.339505	0.453684	0.362662	0.183245	0.0991657	0.0952665	0.204801	0.0530641	0.0958518	0.349573	0.081825	0.0912647	0.378934	0.724056	1.08179	1.81522	3.292214
260	-6370.364	-6365.6	-4.764	2.962556	0.251049	0.169612	0.192434	0.0476497	0.10342	0.147014	0.267529	0.244989	0.280638	0.211001	0.161149	0.172242	0.212575	0.0502164	0.0559288	0.254629	0.0649819	0.0515267	0.386344	0.729433	1.08232	1.8019	2.938587
270	-6365.308	-6358.387	-6.921142	3.919469	0.242055	0.145878	0.174356	0.0490891	0.1139	0.178804	0.267529	0.494039	0.352158	0.196017	0.0670042	0.124555	0.161285	0.0889619	0.0419658	0.336464	0.0578016	0.0624392	0.449883	0.772377	1.08441	1.69333	3.154301
280	-6366.698	-6358.579	-8.119612	3.746626	0.0763075	0.148255	0.192588	0.0449085	0.121666	0.119153	0.269081	0.471706	0.356441	0.223692	0.157379	0.141118	0.159562	0.0679454	0.102358	0.254381	0.0821834	0.285423	0.439877	0.765965	1.08435	1.70981	3.274148
290	-6369.096	-6361.426	-7.670703	5.012125	0.0843798	0.172119	0.160976	0.0382797	0.127769	0.154414	0.313733	0.399547	0.311598	0.276049	0.14514	0.0784332	0.132451	0.0377218	0.0694203	0.380624	0.117954	0.228647	0.50258	0.80425	1.08328	1.60989	3.229257
300	-6371.393	-6363.723	-7.670462	2.917197	0.0918121	0.143319	0.195325	0.0297764	0.0572837	0.179352	0.296772	0.472751	0.336522	0.226094	0.203239	0.094116	0.200211	0.0323989	0.0704511	0.235402	0.0936003	0.270807	0.382753	0.726838	1.08208	1.80833	3.229233
310	-6374.444	-6365.143	-9.300771	2.099409	0.168183	0.207677	0.192069	0.05754	0.0804962	0.169214	0.22805	0.432117	0.320124	0.254449	0.236303	0.127698	0.166857	0.0450953	0.12364	0.287032	0.0541936	0.241524	0.304859	0.665185	1.07229	1.95767	3.392264
320	-6375.264	-6365.322	-9.942149	5.393791	0.0764138	0.167072	0.180113	0.0641376	0.0888504	0.134358	0.176565	0.544	0.510291	0.199523	0.11496	0.103625	0.238871	0.0816352	0.0668714	0.313349	0.0967327	0.299034	0.517654	0.812823	1.08256	1.58697	3.456402
330	-6364.724	-6358.749	-5.975181	4.256209	0.0525477	0.134222	0.149885	0.0462967	0.0713724	0.147608	0.281766	0.42619	0.31577	0.265024	0.0672684	0.149285	0.174735	0.0579556	0.0937882	0.3095	0.0665607	0.249929	0.467906	0.783628	1.08428	1.66418	3.059705
340	-6368.516	-6362.186	-6.329572	4.913779	0.0184888	0.171482	0.152084	0.0476353	0.150434	0.158066	0.204537	0.438732	0.283883	0.228324	0.0794311	0.121806	0.154305	0.08766	0.0796829	0.292315	0.11192	0.314358	0.498457	0.801865	1.08345	1.61623	3.095144
350	-6374.353	-6365.714	-8.639451	3.558016	0.0148204	0.168327	0.171712	0.0613902	0.123767	0.136575	0.241024	0.36211	0.325694	0.27406	0.0745737	0.0611242	0.269888	0.106606	0.0682475	0.511706	0.101147	0.25336	0.428301	0.75839	1.08416	1.72915	3.326132
360	-6373.69	-6366.174	-7.516022	2.104928	0.0110372	0.309622	0.136578	0.0422479	0.168524	0.126701	0.221422	0.401024	0.270242	0.240831	0.080292	0.0756665	0.22452	0.080861	0.107951	0.345206	0.0826984	0.288364	0.305486	0.665727	1.07241	1.95638	3.213789
370	-6369.828	-6363.014	-6.813746	3.145007	0.00599437	0.173724	0.188144	0.0539324	0.116189	0.116932	0.271707	0.340264	0.364385	0.237318	0.128064	0.05314	0.247413	0.0729291	0.102692	0.298886	0.0716919	0.300157	0.400178	0.739253	1.08314	1.77742	3.143561
380	-6368.872	-6363.869	-5.002286	4.415371	0.0087338	0.118053	0.185107	0.0667961	0.0883693	0.134098	0.244479	0.321172	0.269557	0.177146	0.0974538	0.0415597	0.229871	0.12801	0.121401	0.337712	0.0392193	0.353676	0.47582	0.78845	1.08414	1.65159	2.962415
390	-6367.449	-6361.533	-5.91645	2.857287	0.00989882	0.0943504	0.196647	0.0618013	0.11304	0.130698	0.234255	0.470615	0.321267	0.152505	0.0676233	0.0550784	0.181376	0.113161	0.148907	0.367241	0.0714489	0.263921	0.377911	0.723307	1.08171	1.81707	3.053832
400	-6373.093	-6365.608	-7.484892	7.332049	0.0242498	0.228159	0.201605	0.0703131	0.075409	0.15016	0.237683	0.246924	0.362942	0.239322	0.100335	0.0871327	0.216727	0.136415	0.151923	0.286817	0.0611335	0.333425	0.577204	0.844582	1.07818	1.50003	3.210676
